scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
no_same_day_receipt,year,2026,logloss,50,500,-0.009838416390859812,-0.023167090966733188,-0.0006218673168314258
no_same_day_receipt,year,2026,auc,50,500,0.04711684296678231,0.002840465814247767,0.09956081608822076
no_same_day_receipt,currency_year,AMD:2025,brier,20,500,-0.002879174790787913,-0.0050305228904948835,-0.001107824558932352
no_same_day_receipt,currency_year,AMD:2025,logloss,20,500,-0.008629796571596654,-0.015483274533757748,-0.0033289632924135824
no_same_day_receipt,currency_year,AMD:2025,auc,20,500,0.051226914131034064,0.018092409888169105,0.09408381930358349
no_same_day_receipt,currency_year,AMD:2025,brier,50,500,-0.002822849856034331,-0.005540503056219334,-0.0005008548791893043
no_same_day_receipt,currency_year,AMD:2025,logloss,50,500,-0.008471284029966253,-0.016277458503382074,-0.001595047678718159
no_same_day_receipt,currency_year,AMD:2025,auc,50,500,0.0497547316805898,0.011064061122669071,0.08959756976607076
no_same_day_receipt,currency_year,AMD:2026,brier,20,500,-0.0029140336849876967,-0.007628726466320566,0.0007880604530351948
no_same_day_receipt,currency_year,AMD:2026,logloss,20,500,-0.011412776071633728,-0.029290697792071874,0.002149414903753434
no_same_day_receipt,currency_year,AMD:2026,auc,20,500,0.05980133493194659,-0.013587083761592105,0.14198346327057892
no_same_day_receipt,currency_year,AMD:2026,brier,50,500,-0.003020664626995461,-0.008502758200822061,0.0013443120935771095
no_same_day_receipt,currency_year,AMD:2026,logloss,50,500,-0.011824696783773533,-0.03241198786255499,0.004594070292278716
no_same_day_receipt,currency_year,AMD:2026,auc,50,500,0.05321368843646158,-0.029814591120707782,0.13566267482034267
no_same_day_receipt,currency_year,KGS:2025,brier,20,500,-0.0035986038836745217,-0.005674254397143648,-0.0017763958606461586
no_same_day_receipt,currency_year,KGS:2025,logloss,20,500,-0.011322784368920816,-0.017925197759648837,-0.005616970435203033
no_same_day_receipt,currency_year,KGS:2025,auc,20,500,0.06987517504293504,0.036306802061753046,0.11691773818517559
no_same_day_receipt,currency_year,KGS:2025,brier,50,500,-0.0035499501259329855,-0.006235454775293723,-0.0012298181111475963
no_same_day_receipt,currency_year,KGS:2025,logloss,50,500,-0.011172702440291022,-0.019482127656239086,-0.003993913013660807
no_same_day_receipt,currency_year,KGS:2025,auc,50,500,0.06833905229577204,0.02972198317465269,0.11306722567686552
no_same_day_receipt,currency_year,KGS:2026,brier,20,500,-0.0020085871885995896,-0.005945954090470683,0.0006750098140251581
no_same_day_receipt,currency_year,KGS:2026,logloss,20,500,-0.007855613288871284,-0.02334306248939833,0.0025391714411131497
no_same_day_receipt,currency_year,KGS:2026,auc,20,500,0.05562321540284459,-0.017177970366807217,0.14085626591814276
no_same_day_receipt,currency_year,KGS:2026,brier,50,500,-0.0020624549697637207,-0.005559372856256831,0.000717283832270913
no_same_day_receipt,currency_year,KGS:2026,logloss,50,500,-0.00807657509349303,-0.021775448878728003,0.0026108318693272934
no_same_day_receipt,currency_year,KGS:2026,auc,50,500,0.0522825009585506,-0.02140180312599086,0.12317676293734328
no_same_day_receipt,currency_year,KZT:2025,brier,20,500,-0.0005219113092064851,-0.0017698279175559152,0.0006747495245477175
no_same_day_receipt,currency_year,KZT:2025,logloss,20,500,-0.0019753700181333743,-0.007009306640250473,0.0026236250544767244
no_same_day_receipt,currency_year,KZT:2025,auc,20,500,0.017701803095260857,-0.011967597613510331,0.052078803702611136
no_same_day_receipt,currency_year,KZT:2025,brier,50,500,-0.0005637373343009946,-0.0021923235824599045,0.000980458356353303
no_same_day_receipt,currency_year,KZT:2025,logloss,50,500,-0.002105682968164373,-0.0085073607179752,0.0037943092855904667
