policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
nested_calib_rolling_250_q15,780,150,0.19230769230769232,0.9375,0.3423076923076923,0.6533333333333333,1.9086142322097377,1.9282078338563906,1.368421052631579,128.04638153720234,2026
nested_calib_fixed_q20,325,94,0.28923076923076924,1.4461538461538461,0.40307692307692305,0.4574468085106383,1.1348871203508202,0.9950289922003283,0.6770833333333333,88.2686861016429,2022
nested_calib_fixed_q20,1235,325,0.2631578947368421,1.2853107344632768,0.3781376518218624,0.48615384615384616,1.2856531049250535,1.2740434709841166,1.1545776918117343,71.10807771328861,2023
nested_calib_fixed_q20,1240,209,0.1685483870967742,0.8265536723163842,0.3379032258064516,0.3827751196172249,1.132795103401811,1.1177698775790643,0.9674355495251017,24.176557051839062,2024
nested_calib_fixed_q20,1235,297,0.24048582995951417,1.1712676056338025,0.22186234817813766,0.3265993265993266,1.4720809063874758,1.4529619110739744,1.0287380258225738,24.06980305331686,2025
nested_calib_fixed_q20,780,170,0.21794871794871795,1.0625,0.3423076923076923,0.6235294117647059,1.8215465961665565,1.8560073597625084,1.368421052631579,118.20166197789695,2026
nested_calib_rolling_120_q20,325,78,0.24,1.1999999999999997,0.40307692307692305,0.4230769230769231,1.049618320610687,0.938599666616908,0.625,73.03744209648373,2022
nested_calib_rolling_120_q20,1235,314,0.25425101214574897,1.2418079096045198,0.3781376518218624,0.4585987261146497,1.212782498397414,1.1802594821862642,1.0196078431372548,61.27142396768336,2023
nested_calib_rolling_120_q20,1240,247,0.19919354838709677,0.9768361581920905,0.3379032258064516,0.3724696356275304,1.1022967736948392,1.101792365821171,0.9393939393939393,19.363900425509378,2024
nested_calib_rolling_120_q20,1235,299,0.24210526315789474,1.1791549295774648,0.22186234817813766,0.2976588628762542,1.3416375753728975,1.34262733915545,1.163265306122449,18.385947689576938,2025
nested_calib_rolling_120_q20,780,193,0.24743589743589745,1.20625,0.3423076923076923,0.6217616580310881,1.8163823717762124,1.8292290455032572,1.4125636672325976,121.10267439016692,2026
nested_calib_rolling_250_q20,325,78,0.24,1.1999999999999997,0.40307692307692305,0.41025641025641024,1.0178117048346056,0.8959364067966016,0.625,73.24082773664995,2022
nested_calib_rolling_250_q20,1235,295,0.2388663967611336,1.1666666666666667,0.3781376518218624,0.4745762711864407,1.2550357492831996,1.2401865149272748,1.0510638297872341,67.31790112870495,2023
nested_calib_rolling_250_q20,1240,216,0.17419354838709677,0.8542372881355933,0.3379032258064516,0.37037037037037035,1.0960841509767525,1.079104423898346,0.9561688311688311,22.480949826597747,2024
nested_calib_rolling_250_q20,1235,284,0.22995951417004049,1.12,0.22186234817813766,0.31338028169014087,1.4124987149172408,1.4266018910048144,0.9727891156462584,20.64399484209758,2025
nested_calib_rolling_250_q20,780,178,0.2282051282051282,1.1125,0.3423076923076923,0.6348314606741573,1.8545638176997854,1.8734035087719298,1.2828947368421053,123.737411240545,2026
nested_calib_fixed_q30,325,148,0.4553846153846154,2.2769230769230773,0.40307692307692305,0.3918918918918919,0.9722508768310295,0.8865776775477807,0.5803571428571428,70.71174160428589,2022
nested_calib_fixed_q30,1235,446,0.3611336032388664,1.7638418079096045,0.3781376518218624,0.48654708520179374,1.286693041165343,1.2742782279120588,1.1397077672391696,68.4309626152824,2023
nested_calib_fixed_q30,1240,245,0.1975806451612903,0.9689265536723164,0.3379032258064516,0.39183673469387753,1.1596122936047928,1.1392868047022087,0.9923175416133161,24.444975764333904,2024
nested_calib_fixed_q30,1235,375,0.30364372469635625,1.4788732394366195,0.22186234817813766,0.30666666666666664,1.3822384428223842,1.3774869510248093,1.095829636202307,18.99905884481522,2025
nested_calib_fixed_q30,780,235,0.30128205128205127,1.46875,0.3423076923076923,0.5872340425531914,1.7155151804924693,1.7300445944193537,1.2163742690058479,112.98201321002529,2026
nested_calib_rolling_120_q30,325,133,0.40923076923076923,2.046153846153846,0.40307692307692305,0.42105263157894735,1.0445962233828847,0.967772905639017,0.6770833333333333,76.48177447734983,2022
nested_calib_rolling_120_q30,1235,440,0.3562753036437247,1.7401129943502827,0.3781376518218624,0.4636363636363636,1.2261047303873855,1.2164872693389372,1.1189873417721519,63.8020319914374,2023
nested_calib_rolling_120_q30,1240,339,0.27338709677419354,1.3406779661016952,0.3379032258064516,0.3864306784660767,1.1436134637182223,1.1495287496947701,1.002020202020202,27.893668822810348,2024
nested_calib_rolling_120_q30,1235,447,0.36194331983805667,1.7628169014084505,0.22186234817813766,0.27069351230425054,1.2200966704224432,1.2219236225383119,0.9849870982875909,3.845962922938036,2025
nested_calib_rolling_120_q30,780,260,0.3333333333333333,1.625,0.3423076923076923,0.5653846153846154,1.651685393258427,1.666911481890438,1.396551724137931,108.7516409355839,2026
nested_calib_rolling_250_q30,325,130,0.4,2.0,0.40307692307692305,0.4,0.9923664122137406,0.9098410987958401,0.5078125,75.06903911122308,2022
nested_calib_rolling_250_q30,1235,420,0.340080971659919,1.6610169491525426,0.3781376518218624,0.45476190476190476,1.2026358723360864,1.1924580897405215,0.993383497664764,63.70736994073999,2023
nested_calib_rolling_250_q30,1240,275,0.2217741935483871,1.0875706214689267,0.3379032258064516,0.38181818181818183,1.1299631156433068,1.1282230682160637,0.9532085561497327,25.18556016875807,2024
nested_calib_rolling_250_q30,1235,389,0.31497975708502024,1.5340845070422537,0.22186234817813766,0.29562982005141386,1.332492072129548,1.3209779655334248,0.9667318982387474,18.17627015160181,2025
