period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1330,20,prior,50,248,16.372249503575066,-10.434655459382915,56.692070917532654,0.186
screen_2024,cutoff_1430,20,model,20,248,-102.93566234619101,-192.56807139301995,-24.49664978422257,0.998
screen_2024,cutoff_1430,20,model,50,248,-102.93566234619101,-216.4795482648591,-6.2341027715485255,0.987
screen_2024,cutoff_1430,20,prior,20,248,16.178764948038566,-8.288013792065058,47.06497001936701,0.112
screen_2024,cutoff_1430,20,prior,50,248,16.178764948038566,-10.557984358730176,53.8725023570512,0.197
screen_2024,cutoff_1500,20,model,20,248,-102.15399332800179,-194.70179162670198,-21.97245828118269,0.995
screen_2024,cutoff_1500,20,model,50,248,-102.15399332800179,-217.17591346338781,-4.1040415009002595,0.983
screen_2024,cutoff_1500,20,prior,20,248,16.111147279060045,-8.451482772096496,45.24479454438142,0.132
screen_2024,cutoff_1500,20,prior,50,248,16.111147279060045,-8.78014301050126,53.58580216500686,0.205
screen_2024,cutoff_1520,20,model,20,248,-101.58481700344426,-190.726394003886,-23.061756212835338,0.997
screen_2024,cutoff_1520,20,model,50,248,-101.58481700344426,-213.7521937905057,-5.447154025609971,0.987
screen_2024,cutoff_1520,20,prior,20,248,16.061281544614822,-8.276067713566016,46.70171530215468,0.115
screen_2024,cutoff_1520,20,prior,50,248,16.061281544614822,-10.34351884748838,53.57304698218414,0.199
screen_2024,cutoff_1530,20,model,20,248,-102.07764878023062,-184.97234924512122,-23.962590097067547,0.993
screen_2024,cutoff_1530,20,model,50,248,-102.07764878023062,-216.96729996145365,-3.0771048176901448,0.986
screen_2024,cutoff_1530,20,prior,20,248,16.02540342026374,-7.087235878648844,44.83534029033094,0.119
screen_2024,cutoff_1530,20,prior,50,248,16.02540342026374,-9.92143553288973,50.87451378186123,0.206
screen_2024,early_1000,20,model,20,248,-1061.4680023420583,-1887.2808424743896,-386.4855627325056,1.0
screen_2024,early_1000,20,model,50,248,-1061.4680023420583,-2297.389807543954,-133.31449839945242,1.0
screen_2024,early_1000,20,prior,20,248,0.0,0.0,0.0,0.0
screen_2024,early_1000,20,prior,50,248,0.0,0.0,0.0,0.0
screen_2024,premarket,20,model,20,248,-107.74944462459122,-217.97720345293124,-15.551660977814809,0.99
screen_2024,premarket,20,model,50,248,-107.74944462459122,-262.4324557860659,13.376310654780145,0.952
screen_2024,premarket,20,prior,20,248,0.0,0.0,0.0,0.0
screen_2024,premarket,20,prior,50,248,0.0,0.0,0.0,0.0
