state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
cutoff_1430,3,2024-10-01,2130,330,0.25,89.83260307075624,81.38704017702787,84.37114090367898,96.62101310127012,114.39617427423839,2024-09-28
cutoff_1430,3,2025-01-01,2460,285,0.25,94.55731200945063,85.99795152734262,87.93471631332177,98.29934825464477,113.92256753478414,2024-12-29
cutoff_1430,3,2025-04-01,2460,295,0.25,100.78699832290053,91.8421187582608,92.25207430684021,100.23817290643467,113.1841222257579,2025-03-29
cutoff_1430,3,2025-07-01,2450,330,0.25,96.27626572478874,88.54700596343403,89.3259075665258,97.0320667169115,109.37691372947707,2025-06-28
cutoff_1430,3,2025-10-01,2450,325,0.5,92.67870191189192,84.97700059381036,84.24161167085535,89.45883262209902,98.63049289727927,2025-09-27
cutoff_1430,3,2026-01-01,2450,270,0.5,92.6787405474862,85.89834447326412,85.17331286920785,89.67179363495492,97.65973790210741,2025-12-27
cutoff_1430,3,2026-04-01,2440,310,0.5,95.70519856441871,88.68133428625235,86.82100212959415,89.46504908153076,95.47914209323727,2026-03-28
cutoff_1430,3,2026-07-01,2450,230,0.5,97.5738032253484,89.29390873302394,85.56446669373427,86.04981170783383,89.95544000833583,2026-06-27
cutoff_1500,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1500,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1500,3,2023-07-01,560,330,0.25,93.42212840962254,85.43465503142706,86.8501139842703,94.89451860179251,107.03956245354169,2023-06-28
cutoff_1500,3,2023-10-01,890,320,0.25,101.74536667376903,92.67295877810434,95.55055468820812,106.79996431187998,125.25593471433123,2023-09-28
cutoff_1500,3,2024-01-01,1215,285,0.25,101.02444724653424,88.69538367823215,88.99075845684632,98.79366784506209,115.68386747153184,2023-12-29
cutoff_1500,3,2024-04-01,1500,300,0.25,91.77847373354489,80.19444143302847,80.62788324880147,91.04696053683422,108.38139395082032,2024-03-29
cutoff_1500,3,2024-07-01,1800,325,0.25,88.64144808282693,79.66162967017945,81.58423230872738,92.15834931703355,108.82312882237856,2024-06-28
cutoff_1500,3,2024-10-01,2130,330,0.25,89.83260307075624,81.067133380578,83.93993827308914,96.18463098793458,114.12874786168778,2024-09-28
cutoff_1500,3,2025-01-01,2460,285,0.25,94.55731200945063,85.71461949154484,87.55543715434958,97.9528362708382,113.7455568556511,2024-12-29
cutoff_1500,3,2025-04-01,2460,295,0.25,100.78699832290053,91.66191652484771,92.04403671774972,100.11385891333019,113.23007707039935,2025-03-29
cutoff_1500,3,2025-07-01,2450,330,0.25,96.27626572478874,88.40044382039177,89.19887273462594,96.99877936758837,109.4941716293574,2025-06-28
cutoff_1500,3,2025-10-01,2450,325,0.5,92.67870191189192,84.82156267930478,84.05063277794397,89.24717184219644,98.43798268877258,2025-09-27
cutoff_1500,3,2026-01-01,2450,270,0.5,92.6787405474862,85.81401473220717,85.02388726890835,89.4173188302768,97.29521965841752,2025-12-27
cutoff_1500,3,2026-04-01,2440,310,0.5,95.70519856441871,88.594505940402,86.68463646775088,89.28110900538269,95.24112541376414,2026-03-28
cutoff_1500,3,2026-07-01,2450,230,0.5,97.5738032253484,89.17905835746613,85.37783194315844,85.82982131287527,89.73085550629908,2026-06-27
cutoff_1520,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1520,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1520,3,2023-07-01,560,330,0.25,93.42212840962254,85.18862193383963,86.41410327642573,94.39413235600176,106.60669805970711,2023-06-28
cutoff_1520,3,2023-10-01,890,320,0.25,101.74536667376903,92.54981281532223,95.49297174680497,106.91286330403634,125.59451434634785,2023-09-28
cutoff_1520,3,2024-01-01,1215,285,0.25,101.02444724653424,88.63648984708038,88.96364271291536,98.85363141634392,115.85837601683102,2023-12-29
cutoff_1520,3,2024-04-01,1500,300,0.25,91.77847373354489,80.09886338072991,80.4951399566088,90.83545252606817,108.15871795734732,2024-03-29
cutoff_1520,3,2024-07-01,1800,325,0.25,88.64144808282693,79.5286149477921,81.36791684204528,91.82595924897122,108.42557739354156,2024-06-28
cutoff_1520,3,2024-10-01,2130,330,0.25,89.83260307075624,80.9216897792288,83.67764276468102,95.75295210900663,113.61196964457235,2024-09-28
cutoff_1520,3,2025-01-01,2460,285,0.25,94.55731200945063,85.58537888940042,87.31530035641083,97.56340751170607,113.29387928776265,2024-12-29
cutoff_1520,3,2025-04-01,2460,295,0.25,100.78699832290053,91.57995921296042,91.8887488232219,99.85719050306244,112.94694544289021,2025-03-29
cutoff_1520,3,2025-07-01,2450,330,0.25,96.27626572478874,88.29760508821691,89.02317324013035,96.7293457415373,109.19399433333234,2025-06-28
cutoff_1520,3,2025-10-01,2450,325,0.5,92.67870191189192,84.7149101753637,83.82968263295685,88.91149373166746,98.04082113610605,2025-09-27
cutoff_1520,3,2026-01-01,2450,270,0.5,92.6787405474862,85.68121854164339,84.76000143144867,89.0267965464128,96.8317199713611,2025-12-27
cutoff_1520,3,2026-04-01,2440,310,0.5,95.70519856441871,88.45902601939156,86.40938062538675,88.90185036289128,94.79735375261347,2026-03-28
cutoff_1520,3,2026-07-01,2450,230,0.5,97.5738032253484,89.07025729995718,85.16188648381141,85.54505387958294,89.42880619593606,2026-06-27
cutoff_1530,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1530,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1530,3,2023-07-01,560,330,0.25,93.42212840962254,84.81979253693737,85.66183369657459,93.31924679488317,105.32983851491309,2023-06-28
cutoff_1530,3,2023-10-01,890,320,0.25,101.74536667376903,92.336805854093,94.91713352027743,105.86450379337096,124.24317707858697,2023-09-28
cutoff_1530,3,2024-01-01,1215,285,0.25,101.02444724653424,88.49420372439415,88.58468413075629,98.173977493359,114.98912614955937,2023-12-29
cutoff_1530,3,2024-04-01,1500,300,0.25,91.77847373354489,79.95755893958949,80.17386599515281,90.29922974718762,107.48750000205753,2024-03-29
cutoff_1530,3,2024-07-01,1800,325,0.25,88.64144808282693,79.41860816735345,81.12459019944998,91.42514883144084,107.93652732131824,2024-06-28
cutoff_1530,3,2024-10-01,2130,330,0.25,89.83260307075624,80.8272554115764,83.46816984691685,95.4171326638657,113.1741279743153,2024-09-28
cutoff_1530,3,2025-01-01,2460,285,0.25,94.55731200945063,85.4976470490335,87.1169944798205,97.23772475838169,112.8638272706868,2024-12-29
cutoff_1530,3,2025-04-01,2460,295,0.25,100.78699832290053,91.55308225139476,91.82098918535563,99.71767002722096,112.75350097677045,2025-03-29
cutoff_1530,3,2025-07-01,2450,330,0.25,96.27626572478874,88.2609936345361,88.93301549080688,96.56618490453765,108.94878215685453,2025-06-28
cutoff_1530,3,2025-10-01,2450,325,0.5,92.67870191189192,84.68027136474807,83.77084188513871,88.84685701955581,97.95398472726536,2025-09-27
cutoff_1530,3,2026-01-01,2450,270,0.5,92.6787405474862,85.64690587222306,84.68601921681538,88.92670134212929,96.6940005132585,2025-12-27
cutoff_1530,3,2026-04-01,2440,310,0.5,95.70519856441871,88.38228835526095,86.2367481083508,88.65462045681453,94.47695277664214,2026-03-28
