scenario,clock,h,brier_hierarchical_beta,brier_identity,logloss_hierarchical_beta,logloss_identity,ece_hierarchical_beta,ece_identity,max_brier_ci_high,brier_delta,logloss_delta,ece_delta,pass
calendar_assumed_replay,20:15,5,0.171334768867905,0.1691671469512238,0.521386141040971,0.5154824032881221,0.0586649823731991,0.05150913865292564,0.0042305969557492485,0.002167621916681184,0.005903737752848914,0.007155843720273461,False
calendar_assumed_replay,20:15,10,0.15500731309751756,0.1469717675607466,0.4893221208573917,0.46841927919034315,0.09522844489481101,0.053564628668840236,0.013234134405213106,0.008035545536770966,0.020902841667048533,0.041663816225970776,False
calendar_assumed_replay,20:15,20,0.12241988935677779,0.1204357065008863,0.4122935060505724,0.40693656865964495,0.06229308175605777,0.04549084480420587,0.004391475024445757,0.0019841828558914976,0.005356937390927463,0.0168022369518519,False
calendar_assumed_replay,21:15,5,0.171334768867905,0.1691671469512238,0.521386141040971,0.5154824032881221,0.0586649823731991,0.05150913865292564,0.0041527287962301275,0.002167621916681184,0.005903737752848914,0.007155843720273461,False
calendar_assumed_replay,21:15,10,0.15500731309751756,0.1469717675607466,0.4893221208573917,0.46841927919034315,0.09522844489481101,0.053564628668840236,0.013403024863046299,0.008035545536770966,0.020902841667048533,0.041663816225970776,False
calendar_assumed_replay,21:15,20,0.12241988935677779,0.1204357065008863,0.4122935060505724,0.40693656865964495,0.06229308175605777,0.04549084480420587,0.0045441044468961045,0.0019841828558914976,0.005356937390927463,0.0168022369518519,False
calendar_assumed_replay,22:15,5,0.171334768867905,0.1691671469512238,0.521386141040971,0.5154824032881221,0.0586649823731991,0.05150913865292564,0.004191575122265004,0.002167621916681184,0.005903737752848914,0.007155843720273461,False
calendar_assumed_replay,22:15,10,0.15500731309751756,0.1469717675607466,0.4893221208573917,0.46841927919034315,0.09522844489481101,0.053564628668840236,0.013634373866530875,0.008035545536770966,0.020902841667048533,0.041663816225970776,False
calendar_assumed_replay,22:15,20,0.12241988935677779,0.1204357065008863,0.4122935060505724,0.40693656865964495,0.06229308175605777,0.04549084480420587,0.004550956811145728,0.0019841828558914976,0.005356937390927463,0.0168022369518519,False
calendar_assumed_replay,23:15,5,0.171334768867905,0.1691671469512238,0.521386141040971,0.5154824032881221,0.0586649823731991,0.05150913865292564,0.0041504737647642285,0.002167621916681184,0.005903737752848914,0.007155843720273461,False
calendar_assumed_replay,23:15,10,0.15500731309751756,0.1469717675607466,0.4893221208573917,0.46841927919034315,0.09522844489481101,0.053564628668840236,0.013390699471734163,0.008035545536770966,0.020902841667048533,0.041663816225970776,False
calendar_assumed_replay,23:15,20,0.12241988935677779,0.1204357065008863,0.4122935060505724,0.40693656865964495,0.06229308175605777,0.04549084480420587,0.004299175872127383,0.0019841828558914976,0.005356937390927463,0.0168022369518519,False
no_same_day_receipt,00:15,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.019833993348576023,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
no_same_day_receipt,00:15,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.01602991606747026,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
no_same_day_receipt,00:15,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.006341045315966866,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
no_same_day_receipt,06:00,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.0199591736170689,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
no_same_day_receipt,06:00,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.01657221542911143,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
no_same_day_receipt,06:00,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.00696508009677868,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
no_same_day_receipt,09:15,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.019576892172049356,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
no_same_day_receipt,09:15,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.016146399648647884,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
no_same_day_receipt,09:15,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.006744854506972821,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
no_same_day_receipt,10:15,5,0.1896057440516435,0.17912717765113312,0.5655570490362808,0.5397344952358751,0.05512059110507998,0.045606247739620694,0.014313645503866372,0.01047856640051037,0.025822553800405657,0.00951434336545929,False
no_same_day_receipt,10:15,10,0.15175734632322954,0.14538610185646375,0.4819058810752264,0.46391953530794144,0.07484963600985936,0.04947728375022846,0.009997301653189222,0.006371244466765791,0.017986345767284972,0.0253723522596309,False
no_same_day_receipt,10:15,20,0.12038608304894767,0.11875734888999052,0.4063572447183668,0.4000760592456141,0.048139359706036444,0.03182679756896785,0.0046071436157560045,0.0016287341589571458,0.006281185472752693,0.016312562137068595,False
no_same_day_receipt,10:45,5,0.1836131573376498,0.17460828390687302,0.5509454203484375,0.527414515838562,0.06809301925335035,0.046059363536411047,0.012960191439459928,0.009004873430776772,0.023530904509875494,0.0220336557169393,False
no_same_day_receipt,10:45,10,0.14741877556031613,0.14300456957591104,0.4697383202364577,0.4555251876629751,0.06692006341634699,0.0496079007825494,0.007511693690816501,0.00441420598440509,0.014213132573482556,0.01731216263379759,False
no_same_day_receipt,10:45,20,0.11853333661829149,0.11770455971760314,0.4000330151889231,0.3952768542826707,0.03971405211902128,0.03147655921957627,0.002862066145181873,0.0008287769006883466,0.004756160906252416,0.00823749289944501,False
no_same_day_receipt,11:45,5,0.18033216394739,0.1727720742513212,0.5426181502536012,0.5236298037490018,0.07109544484392448,0.051004646123683266,0.011432784006723217,0.007560089696068778,0.01898834650459935,0.020090798720241214,False
no_same_day_receipt,11:45,10,0.1454243519607223,0.14246640422131865,0.4639360521008786,0.4541886736500552,0.06469980954040869,0.05768917325908125,0.006027606920066201,0.002957947739403638,0.009747378450823407,0.007010636281327434,False
no_same_day_receipt,11:45,20,0.11732748653369414,0.11777707207577807,0.39574675456007297,0.3944596237333479,0.03510872147485066,0.03171365247598176,0.0016841237272175466,-0.00044958554208393564,0.001287130826725047,0.0033950689988688984,False
no_same_day_receipt,12:45,5,0.17866047198238053,0.17174839783090723,0.5381817878488886,0.5208981729354009,0.07166600697206704,0.04952337290878835,0.010856005714386515,0.006912074151473296,0.017283614913487733,0.02214263406327869,False
no_same_day_receipt,12:45,10,0.14418291157222882,0.14151108418240194,0.4603325276312593,0.4516738014401004,0.067131246784714,0.05890324641970173,0.005878826265093125,0.0026718273898268807,0.008658726191158927,0.008228000365012263,False
no_same_day_receipt,12:45,20,0.11680429767342482,0.11761612810734255,0.39380949554446915,0.3935752544573411,0.03325431244022446,0.0316281361789471,0.0013633851313267049,-0.0008118304339177346,0.00023424108712805092,0.0016261762612773609,False
no_same_day_receipt,13:45,5,0.1767533989688189,0.17064623218355038,0.5333917487253644,0.5179243841247875,0.07054512570750002,0.049490045419064994,0.010760045890730253,0.006107166785268514,0.01546736460057696,0.021055080288435023,False
no_same_day_receipt,13:45,10,0.14297867483761964,0.14051287739273496,0.4568717602093401,0.4489168991486622,0.06683470601880595,0.061096926775824616,0.0055257240948423285,0.0024657974448846764,0.007954861060677942,0.005737779242981335,False
no_same_day_receipt,13:45,20,0.11612826630335828,0.11712235216117395,0.39123380747155734,0.39149584968715967,0.03760514901616748,0.03141475375351321,0.0013845450410162408,-0.0009940858578156714,-0.00026204221560233165,0.006190395262654275,False
no_same_day_receipt,14:45,5,0.17548005581659748,0.17013212277371298,0.5296940865798242,0.5163294562972917,0.07203425579562693,0.0497276621252772,0.009686403261161927,0.005347933042884501,0.013364630282532541,0.022306593670349734,False
no_same_day_receipt,14:45,10,0.14194337544011773,0.13998950723575665,0.453503661213067,0.4472992512019222,0.06339190860734838,0.060736858533893955,0.004898105475387811,0.001953868204361081,0.006204410011144801,0.002655050073454422,False
no_same_day_receipt,14:45,20,0.11546616735848954,0.11682219225255243,0.3884934411276206,0.39013809669263905,0.03218751126641014,0.031042854593878615,0.001356681443376157,-0.0013560248940628905,-0.0016446555650184713,0.0011446566725315244,False
no_same_day_receipt,15:10,5,0.17474175334150166,0.16943384078391702,0.5276161373396203,0.5121131916587188,0.06865905063507168,0.048162267451971524,0.010005905731355888,0.005307912557584643,0.015502945680901492,0.02049678318310015,False
no_same_day_receipt,15:10,10,0.14121013362509796,0.1390241285518243,0.45128552914805403,0.44211426613733484,0.06126938551037312,0.060196710427126106,0.004993482741969302,0.002186005073273656,0.009171263010719188,0.0010726750832470155,False
no_same_day_receipt,15:10,20,0.11482443170531624,0.11573440001112661,0.3864934556903278,0.385663044076101,0.035509398450795746,0.031575012584157576,0.001621470987544166,-0.0009099683058103741,0.0008304116142267559,0.0039343858666381695,False
no_same_day_receipt,15:25,5,0.17451204070401596,0.1691478674974943,0.5269930435567616,0.5112347141151194,0.06808248672418653,0.0468973148452241,0.009925785076113528,0.005364173206521661,0.015758329441642127,0.021185171878962426,False
no_same_day_receipt,15:25,10,0.14098709961925054,0.13875821743383585,0.45062498906810905,0.441395315245171,0.05960540772789752,0.059848253944773215,0.004913325232376129,0.002228882185414699,0.009229673822938045,-0.0002428462168756959,False
