candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1130,20,2024-10-01,3120,580,0.18166026057695214,330,False,-1.6343131555467718,"[0.27280064866809456, 0.002084437977617714, -0.17455197175834272, 0.12610627125559362, 0.20356416455697926, -0.14064874195336832]",2024-09-28,2022-02-24
cutoff_1130,20,2025-01-01,3450,696,0.20514736898914318,285,False,-1.4854878853049254,"[0.2797709435508972, 0.009421518186209362, -0.06411673425863758, 0.10864151037660329, 0.16933124226237398, -0.22012040241399858]",2024-12-29,2022-02-24
cutoff_1130,20,2025-04-01,3735,698,0.1816903836483534,295,False,-1.6274816479479275,"[0.2767044710472627, 0.004963428592474395, -0.06641058131126205, 0.10084223438204076, 0.17196556054208953, -0.20293634297011676]",2025-03-29,2022-02-24
cutoff_1130,20,2025-07-01,4030,712,0.16599003209182994,330,False,-1.7445355154208715,"[0.29223049583108895, 0.11122859080468334, -0.09018995811351438, 0.07019160078923903, 0.13940288935007555, -0.22255784599138576]",2025-06-28,2022-02-24
cutoff_1130,20,2025-10-01,4355,778,0.17087415376250914,325,False,-1.707987309595593,"[0.27862787176680043, 0.1729208937017745, -0.10346715607098556, 0.09234270440961503, 0.13646730274287855, -0.2834452037052577]",2025-09-27,2022-02-24
cutoff_1130,20,2026-01-01,4675,806,0.16089485485296648,270,False,-1.7791808900020236,"[0.2879868995247156, 0.14109357147189763, -0.08807782698153335, 0.05687325043828658, 0.10985315128389392, -0.2453891997403214]",2025-12-27,2022-02-24
cutoff_1130,20,2026-04-01,4950,843,0.15841294558318542,310,False,-1.8123955450892741,"[0.3043102332383959, 0.09041257342303866, -0.034803694442300165, 0.03576808475561813, 0.09951498357478678, -0.17687585079429535]",2026-03-28,2022-02-24
cutoff_1130,20,2026-07-01,5260,878,0.15329170456122132,230,False,-1.8489029931677805,"[0.30721984146336995, 0.09475561236590174, -0.03240391759956518, 0.018234220341773535, 0.08998725319835468, -0.16483330464485782]",2026-06-27,2022-02-24
cutoff_1230,1,2023-01-01,1060,521,0.5001386579556547,280,False,-0.18521716035165323,"[0.4724351290618252, 0.13970341208464143, -0.10324650761944981, -0.0467490270982141, 0.03544746909045685, -0.20004046766704922]",2022-12-29,2022-02-24
cutoff_1230,1,2023-04-01,1340,692,0.5271279726756413,305,False,-0.04453702582693975,"[0.4738261415063311, 0.09521933965296214, -0.0428380774173811, -0.04109755016308329, 0.10265457936326372, -0.1564466610359369]",2023-03-29,2022-02-24
