date,currency,router_equal_logit,router_equal_hist,router_equal_tree,router_tail_logit,router_tail_hist,router_tail_tree,router_equal_logit_stale20
2013-08-01,TJS,,,,,,,
2013-08-02,TJS,,,,,,,
2013-08-03,TJS,,,,,,,
2013-08-06,TJS,,,,,,,
2013-08-07,TJS,,,,,,,
2013-08-08,TJS,,,,,,,
2013-08-09,TJS,,,,,,,
2013-08-10,TJS,,,,,,,
2013-08-13,TJS,,,,,,,
2013-08-14,TJS,,,,,,,
2013-08-15,TJS,,,,,,,
2013-08-16,TJS,,,,,,,
2013-08-17,TJS,,,,,,,
2013-08-20,TJS,,,,,,,
2013-08-21,TJS,,,,,,,
2013-08-22,TJS,,,,,,,
2013-08-23,TJS,,,,,,,
2013-08-24,TJS,,,,,,,
2013-08-27,TJS,,,,,,,
2013-08-28,TJS,,,,,,,
2013-08-29,TJS,,,,,,,
2013-08-30,TJS,,,,,,,
2013-08-31,TJS,,,,,,,
2013-09-03,TJS,,,,,,,
2013-09-04,TJS,,,,,,,
2013-09-05,TJS,,,,,,,
2013-09-06,TJS,,,,,,,
2013-09-07,TJS,,,,,,,
2013-09-10,TJS,,,,,,,
2013-09-11,TJS,,,,,,,
2013-09-12,TJS,,,,,,,
2013-09-13,TJS,,,,,,,
2013-09-14,TJS,,,,,,,
2013-09-17,TJS,,,,,,,
2013-09-18,TJS,,,,,,,
2013-09-19,TJS,,,,,,,
2013-09-20,TJS,,,,,,,
2013-09-21,TJS,,,,,,,
2013-09-24,TJS,,,,,,,
2013-09-25,TJS,,,,,,,
2013-09-26,TJS,,,,,,,
2013-09-27,TJS,,,,,,,
2013-09-28,TJS,,,,,,,
2013-10-01,TJS,,,,,,,
2013-10-02,TJS,,,,,,,
2013-10-03,TJS,,,,,,,
2013-10-04,TJS,,,,,,,
2013-10-05,TJS,,,,,,,
2013-10-08,TJS,,,,,,,
2013-10-09,TJS,,,,,,,
2013-10-10,TJS,,,,,,,
2013-10-11,TJS,,,,,,,
2013-10-12,TJS,,,,,,,
2013-10-15,TJS,,,,,,,
2013-10-16,TJS,,,,,,,
2013-10-17,TJS,,,,,,,
2013-10-18,TJS,,,,,,,
2013-10-19,TJS,,,,,,,
2013-10-22,TJS,,,,,,,
2013-10-23,TJS,,,,,,,
2013-10-24,TJS,,,,,,,
2013-10-25,TJS,,,,,,,
2013-10-26,TJS,,,,,,,
2013-10-29,TJS,,,,,,,
2013-10-30,TJS,,,,,,,
2013-10-31,TJS,,,,,,,
2013-11-01,TJS,,,,,,,
2013-11-02,TJS,,,,,,,
2013-11-06,TJS,,,,,,,
2013-11-07,TJS,,,,,,,
2013-11-08,TJS,,,,,,,
2013-11-09,TJS,,,,,,,
2013-11-12,TJS,,,,,,,
2013-11-13,TJS,,,,,,,
2013-11-14,TJS,,,,,,,
2013-11-15,TJS,,,,,,,
2013-11-16,TJS,,,,,,,
2013-11-19,TJS,,,,,,,
2013-11-20,TJS,,,,,,,
2013-11-21,TJS,,,,,,,
2013-11-22,TJS,,,,,,,
2013-11-23,TJS,,,,,,,
2013-11-26,TJS,,,,,,,
2013-11-27,TJS,,,,,,,
2013-11-28,TJS,,,,,,,
2013-11-29,TJS,,,,,,,
2013-11-30,TJS,,,,,,,
2013-12-03,TJS,,,,,,,
2013-12-04,TJS,,,,,,,
2013-12-05,TJS,,,,,,,
2013-12-06,TJS,,,,,,,
2013-12-07,TJS,,,,,,,
2013-12-10,TJS,,,,,,,
2013-12-11,TJS,,,,,,,
2013-12-12,TJS,,,,,,,
2013-12-13,TJS,,,,,,,
2013-12-14,TJS,,,,,,,
2013-12-17,TJS,,,,,,,
2013-12-18,TJS,,,,,,,
2013-12-19,TJS,,,,,,,
2013-12-20,TJS,,,,,,,
2013-12-21,TJS,,,,,,,
2013-12-24,TJS,,,,,,,
2013-12-25,TJS,,,,,,,
2013-12-26,TJS,,,,,,,
2013-12-27,TJS,,,,,,,
2013-12-28,TJS,,,,,,,
2013-12-31,TJS,,,,,,,
2014-01-01,TJS,,,,,,,
2014-01-10,TJS,,,,,,,
2014-01-11,TJS,,,,,,,
2014-01-14,TJS,,,,,,,
2014-01-15,TJS,,,,,,,
2014-01-16,TJS,,,,,,,
2014-01-17,TJS,,,,,,,
2014-01-18,TJS,,,,,,,
2014-01-21,TJS,,,,,,,
2014-01-22,TJS,,,,,,,
2014-01-23,TJS,,,,,,,
2014-01-24,TJS,,,,,,,
2014-01-25,TJS,,,,,,,
2014-01-28,TJS,,,,,,,
2014-01-29,TJS,,,,,,,
