candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
hold_1730,1,2024-10-01,16946,8531,0.5184528638362007,330,False,-0.013360208005503457,"[0.016800201023115188, 0.014325711567220968, -0.04468883983422941, 0.031095111200746085, 0.05565661741336001, -0.06960247429306897]",2024-09-28
hold_1730,1,2025-01-01,17276,8717,0.5222684159476914,285,False,0.0007746401447073851,"[0.01809482097178522, 0.030666595728400775, -0.02876156966919632, 0.03515421293792205, 0.05211681357595951, -0.08841228485670435]",2024-12-29
hold_1730,1,2025-04-01,17561,8830,0.5125496998722576,295,False,-0.05502157417598745,"[0.02607149383649877, 0.019553210685465897, -0.040847861248527434, 0.012672392542905154, 0.03400742674572945, -0.07956058077064636]",2025-03-29
hold_1730,1,2025-07-01,17856,8961,0.5072031702603957,330,False,-0.0787764523957389,"[0.030129276964695344, 0.05535459377796396, -0.0439669765814722, -0.022275669203491045, 0.01919381611329852, -0.08585095904321252]",2025-06-28
hold_1730,1,2025-10-01,18181,9157,0.5156937927313952,325,False,-0.03833785536759586,"[0.028977843998969605, 0.07158156370117605, -0.034230859391986175, -0.004149489953078647, 0.03366018724156963, -0.10466261137607735]",2025-09-27
hold_1730,1,2026-01-01,18501,9285,0.5057324973018527,270,False,-0.08676634512043939,"[0.0367701647621942, 0.051963054536597726, -0.03946856534780474, -0.033532381419368304, 0.017219850916234878, -0.08205202838349006]",2025-12-27
hold_1730,1,2026-04-01,18776,9429,0.5071660381414647,310,False,-0.08317128935583613,"[0.040101807922011914, 0.03832742778909574, -0.036067795774418855, -0.04161735542617644, 0.027357284118177477, -0.07055906479353882]",2026-03-28
hold_1730,1,2026-07-01,19086,9579,0.505582675046287,230,False,-0.09210690132238838,"[0.04529795800921768, 0.032621822179667484, -0.019891806817161545, -0.06287845192298316, 0.022086138050657917, -0.06327782831448675]",2026-06-27
hold_1730,3,2023-01-01,14781,4676,0.3203053668303132,280,False,-0.765198604393625,"[0.01645322523388613, -0.12719876364043353, -0.1902559793793883, -0.12414867673062799, -0.08056814584366086, -0.23391723920572097]",2022-12-29
hold_1730,3,2023-04-01,15061,4817,0.3343778516320013,305,False,-0.6031077500596255,"[0.0036853331104891797, -0.10498105736246442, -0.15599997047167097, -0.10220055288344754, -0.026312612400651678, -0.20779451468521062]",2023-03-29
hold_1730,3,2023-07-01,15366,4952,0.34336925443244387,330,False,-0.5364075611948858,"[-0.0007295416891073941, -0.08728606511859757, -0.14508005187546177, -0.09087399327363153, -0.01627290978333791, -0.19179179211190375]",2023-06-28
hold_1730,3,2023-10-01,15696,5122,0.3586011301467577,320,False,-0.4429867420524739,"[-0.006791793720981871, -0.07014624466590773, -0.12209135220855696, -0.06190810773126444, 0.010357922386623631, -0.19413040069525814]",2023-09-28
hold_1730,3,2024-01-01,16021,5229,0.35594910402865587,285,False,-0.489644767853922,"[-0.0009673600361905641, -0.07236408412912114, -0.11389764531785564, -0.06459584369505707, -0.03796597276740095, -0.1961894099678792]",2023-12-29
hold_1730,3,2024-04-01,16306,5340,0.3587375216749089,300,False,-0.48621804923388967,"[0.00018685094896183426, -0.06897617231761258, -0.10093855925261236, -0.0676881464423419, -0.024846978949529287, -0.21927196030512108]",2024-03-29
hold_1730,3,2024-07-01,16606,5417,0.35023539525277214,325,False,-0.5616317174696992,"[0.009026274619204784, -0.08085569680272468, -0.12246104722633318, -0.07396451366686474, -0.046849739413264826, -0.22778703337301304]",2024-06-28
hold_1730,3,2024-10-01,16936,5558,0.3571727297001019,330,False,-0.5253774129376083,"[0.007461585234728355, -0.0834139645241145, -0.1330340782680067, -0.037500806670258326, -0.04660742442104075, -0.21609006053267385]",2024-09-28
hold_1730,3,2025-01-01,17266,5702,0.36392059097429313,285,False,-0.5012009575058153,"[0.008249247488612442, -0.062288680787958225, -0.11308963468063642, -0.04377446158588131, -0.040686946061654336, -0.2350410785593962]",2024-12-29
hold_1730,3,2025-04-01,17551,5767,0.3533012977862688,295,False,-0.5658289570039582,"[0.015853160244336695, -0.07818696289853166, -0.131447871285821, -0.06658985110867705, -0.05199653553477866, -0.23244359830911518]",2025-03-29
hold_1730,3,2025-07-01,17846,5835,0.3435236410944369,330,False,-0.6157551411422202,"[0.021008362213307197, -0.039747089908377456, -0.1364691877862354, -0.11338656068130613, -0.08169986525339801, -0.23817305898336547]",2025-06-28
hold_1730,3,2025-10-01,18171,5982,0.35320760409819957,325,False,-0.5695814975954834,"[0.01955994844551288, -0.01243469130855963, -0.127416781342034, -0.09527756239813624, -0.06695415135350666, -0.2621650372665621]",2025-09-27
hold_1730,3,2026-01-01,18491,6058,0.34326384681020305,270,False,-0.6247422318270128,"[0.02713196744576398, -0.025862385939159, -0.13831603631452905, -0.11436820122637713, -0.0823221349999646, -0.2571963836762042]",2025-12-27
hold_1730,3,2026-04-01,18766,6157,0.3447259648676431,310,False,-0.6216423768026048,"[0.029861887376348418, -0.049140286470568936, -0.12910341379642865, -0.1194606094381093, -0.08364372067035357, -0.23317836518350424]",2026-03-28
hold_1730,3,2026-07-01,19076,6254,0.3424666145502789,230,False,-0.6349713397761014,"[0.0342958966188919, -0.047605030739457634, -0.12165188451165425, -0.12447231235531404, -0.0854538914394742, -0.24831093986224523]",2026-06-27
hold_1730,5,2023-01-01,14771,3733,0.2550393797542467,280,False,-1.1525687518872825,"[0.00808587308224031, 0.051498490577533654, -0.062082409303151474, -0.015160743429309132, 0.07927395003906958, -0.055661006936782026]",2022-12-29
hold_1730,5,2023-04-01,15051,3849,0.26727654306551385,305,False,-0.9825662699300169,"[-0.0028823803883422, 0.025070783235740846, -0.043168773293562994, -0.04459212069738859, 0.09766903425057351, -0.038180428667922976]",2023-03-29
hold_1730,5,2023-07-01,15356,3968,0.277501553540198,330,False,-0.8904102451722145,"[-0.008123322558625145, 0.03057252694507186, -0.04936167168818603, -0.037122763364884286, 0.10126941067035979, -0.045031533588189364]",2023-06-28
hold_1730,5,2023-10-01,15686,4118,0.2931548344825895,320,False,-0.7769261523641705,"[-0.014452728950554487, 0.03190903014122227, -0.039345814614617516, -0.021899131999102876, 0.10605356365027353, -0.056173319842758154]",2023-09-28
hold_1730,5,2024-01-01,16011,4206,0.2912167109518674,285,False,-0.6936609807282897,"[-0.008564366602627039, -0.09814878189917803, -0.16847653074238028, -0.1402161602840573, -0.08464487976138999, -0.19535071057028158]",2023-12-29
hold_1730,5,2024-04-01,16296,4304,0.29552320035386836,300,False,-0.684024454386014,"[-0.007873242105513748, -0.09019279443055117, -0.15435577862112632, -0.13524782136550573, -0.07080686630729832, -0.22638989822704123]",2024-03-29
hold_1730,5,2024-07-01,16596,4354,0.28478242288897737,325,False,-0.7757043985830105,"[0.0013981469698673735, -0.11110605455931759, -0.19129935831955866, -0.14032542443622575, -0.09344451602528556, -0.23283440082275747]",2024-06-28
hold_1730,5,2024-10-01,16926,4481,0.2939164427609178,330,False,-0.7276110289462236,"[-0.0010030105062328709, -0.10798300344633217, -0.19331149764604177, -0.08334178574355726, -0.09221373800063948, -0.243727613280147]",2024-09-28
hold_1730,5,2025-01-01,17256,4611,0.30261816534408026,285,False,-0.6927284102822561,"[-0.0011625159931704075, -0.0856888335612786, -0.16245487954003598, -0.08882416130569488, -0.07796249088782171, -0.27188943626057405]",2024-12-29
hold_1730,5,2025-04-01,17541,4660,0.29242574279826933,295,False,-0.7652616341657434,"[0.007086353551484059, -0.0952091216332329, -0.17405075742529497, -0.11792784568940347, -0.08781520608647592, -0.28360943508186853]",2025-03-29
hold_1730,5,2025-07-01,17836,4706,0.2815497237153756,330,False,-0.8304869370456582,"[0.013235232783929199, -0.046247366815903745, -0.1979397431905108, -0.1600250615866161, -0.1251796059479212, -0.2896815993951832]",2025-06-28
hold_1730,5,2025-10-01,18161,4830,0.29052343280229437,325,False,-0.7840438842942449,"[0.011347562942905462, -0.016544082411781725, -0.20260421876099674, -0.13676783193287276, -0.10600682970960473, -0.3130913064829002]",2025-09-27
hold_1730,5,2026-01-01,18481,4893,0.2824898117927341,270,False,-0.8365509096909837,"[0.01872100189836273, -0.03381566713750997, -0.21447157295383754, -0.15285489076835182, -0.12415382612406252, -0.30244041773435726]",2025-12-27
hold_1730,5,2026-04-01,18756,4974,0.283670999519772,310,False,-0.8343273038368716,"[0.021073824063836018, -0.0647883863989268, -0.19802753382133864, -0.16165964313005599, -0.1283729227886558, -0.2727790446233951]",2026-03-28
hold_1730,5,2026-07-01,19066,5043,0.278918925073481,230,False,-0.8621559052554131,"[0.025955336208944493, -0.06893415467200494, -0.18665643558000583, -0.1726056605607381, -0.13493728771213845, -0.29056930507002215]",2026-06-27
hold_1730,10,2023-01-01,14746,2646,0.1860410987645207,280,False,-1.2650367813202652,"[0.003765565999542605, -0.20585221182796626, -0.31831464219045, -0.30286892859510356, -0.12073770170203667, -0.30128859918565876]",2022-12-29
hold_1730,10,2023-04-01,15026,2755,0.20163465337121345,305,False,-1.05387262186376,"[-0.012800785839417033, -0.20255912769334916, -0.24874060644193755, -0.2774505130896045, -0.06195541801704383, -0.2514788866124357]",2023-03-29
hold_1730,10,2023-07-01,15331,2874,0.21744282693013198,330,False,-0.9168436047472988,"[-0.022644268722076616, -0.1662637147602167, -0.21408252127776542, -0.23995769578556592, -0.04350396070082813, -0.2410311574086843]",2023-06-28
hold_1730,10,2023-10-01,15661,2985,0.22793539128447268,320,False,-0.863648530539108,"[-0.02537222680968394, -0.1670738642731868, -0.20913482841888192, -0.2091452803308024, -0.02841192720025763, -0.2417394201880294]",2023-09-28
hold_1730,10,2024-01-01,15986,3024,0.2185139343940564,285,False,-0.9864092598718267,"[-0.013899456026936988, -0.1894106056966237, -0.22872764434464002, -0.21302913462849196, -0.08262289175063321, -0.25866744694891275]",2023-12-29
hold_1730,10,2024-04-01,16271,3106,0.2240862419440231,300,False,-1.1546404212577914,"[-0.014134724851054645, 0.00953980142729166, -0.025622354408240986, -0.018939975700270038, 0.10577714982650412, -0.07096659611193364]",2024-03-29
hold_1730,10,2024-07-01,16571,3148,0.21695424566484425,325,False,-1.0381700061906975,"[-0.00733469863719878, -0.1971175747667141, -0.24679555516633137, -0.2169043580893573, -0.09219904847919576, -0.26527241975393945]",2024-06-28
hold_1730,10,2024-10-01,16901,3235,0.22133006052766233,330,False,-1.0260603676667612,"[-0.005611589854030403, -0.19227094471739914, -0.26059623071530175, -0.17191112645636078, -0.0962195431163773, -0.29274200426115815]",2024-09-28
hold_1730,10,2025-01-01,17231,3357,0.23427150680217348,285,False,-0.9559086777801212,"[-0.008819300219745582, -0.1426541038618497, -0.21704149409308418, -0.16209065968232592, -0.07534094822665151, -0.33980876757827344]",2024-12-29
