policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r28_m060,rolling,0.28,60,5,1.498742539694456,0.3388750381601709,1.5004110881278863,13.37296265885975,60.02231738605846,317
rolling_r28_m060,rolling,0.28,60,10,1.530143180105501,0.2700722499236797,1.5261931302127383,17.849421447429368,82.50263291537263,317
rolling_r28_m060,rolling,0.28,60,20,1.8351833165153044,0.189083647094739,1.838044806417176,28.06168487817995,128.76414874347716,317
rolling_r28_m090,rolling,0.28,90,1,1.4955051179350245,0.544173205463528,1.4928024823221602,2.94934235298957,49.42764119797375,333
rolling_r28_m090,rolling,0.28,90,3,1.6059204440333024,0.3926910781749492,1.6004746445489868,11.490224596699724,62.8127769057545,333
rolling_r28_m090,rolling,0.28,90,5,1.6485472284764662,0.3388186573670444,1.6398749214476758,18.417131323887528,76.40653047079589,333
rolling_r28_m090,rolling,0.28,90,10,1.6568917585866738,0.270052310374891,1.6504555246145127,19.09696298483699,93.82128485127299,333
rolling_r28_m090,rolling,0.28,90,20,1.9501342539317221,0.18940714908456846,1.9520374708181798,25.600768230076543,134.57501613053992,333
rolling_r30_m010,rolling,0.3,10,1,1.353190110028633,0.5434837926714687,1.351418966468674,2.0649733956219167,39.45049114550587,412
rolling_r30_m010,rolling,0.3,10,3,1.4059237800309674,0.3918924209207642,1.402656027435719,11.282511076722978,49.358457185342985,412
rolling_r30_m010,rolling,0.3,10,5,1.47999652365364,0.3378386313811462,1.4721638807793849,19.709399373729628,56.70678904220936,412
rolling_r30_m010,rolling,0.3,10,10,1.3972592781069393,0.26925109614782333,1.3887009586620311,29.221691152714087,68.98032992800773,412
rolling_r30_m010,rolling,0.3,10,20,1.4028022833419822,0.18859614782336362,1.397272827039116,37.6372688072418,88.0749550089926,412
rolling_r30_m015,rolling,0.3,15,1,1.393685987187848,0.5432399766608318,1.3921816330856043,2.4467747346931357,40.56708167318679,387
rolling_r30_m015,rolling,0.3,15,3,1.4448523543495613,0.3916604151037759,1.4439974346987223,11.814720074937656,51.07303634893001,387
rolling_r30_m015,rolling,0.3,15,5,1.5082270860988485,0.337511461198633,1.5019682401684387,18.11298216475463,57.11938743784745,387
rolling_r30_m015,rolling,0.3,15,10,1.4303077220824465,0.26918187880303407,1.4205895492099938,22.561273041017415,67.9495551937112,387
rolling_r30_m015,rolling,0.3,15,20,1.4410625345877144,0.18827623572559807,1.4349624421405658,31.033273176406507,87.70217005033832,387
rolling_r30_m020,rolling,0.3,20,1,1.4034472451927869,0.543975459590704,1.4036313931230386,2.9503819174024297,42.03121650994565,372
rolling_r30_m020,rolling,0.3,20,3,1.5069325526155886,0.39245143947277145,1.5107164872223122,14.778108561845876,56.76241754638439,372
rolling_r30_m020,rolling,0.3,20,5,1.5641928667477747,0.3385579257717655,1.561760011431857,22.896575830474145,66.33633610820935,372
rolling_r30_m020,rolling,0.3,20,10,1.4846719434288236,0.2697819112036074,1.478638050129584,28.236835973951926,81.29227989815155,372
rolling_r30_m020,rolling,0.3,20,20,1.4209591474245116,0.18918010752688172,1.4299194091659995,34.3489557931221,99.8428600286862,372
rolling_r30_m030,rolling,0.3,30,1,1.4439733494851603,0.5445250659630607,1.445911674207704,2.8337901297687624,43.19946465463134,379
rolling_r30_m030,rolling,0.3,30,3,1.5159170205284935,0.3933632649587199,1.5221872643157182,12.15659267634927,56.123809272810895,379
rolling_r30_m030,rolling,0.3,30,5,1.5694727278423506,0.3395927312962806,1.5668187821940762,18.070716007205867,63.924118478431936,379
rolling_r30_m030,rolling,0.3,30,10,1.5194407352132584,0.27089539535279605,1.516264963387315,20.67586471940835,78.00113946093526,379
rolling_r30_m030,rolling,0.3,30,20,1.489280502862274,0.18956932504894033,1.4985433479138628,26.380680181157363,103.69684894127101,379
rolling_r30_m040,rolling,0.3,40,1,1.4256789601606257,0.5451036866359447,1.4253456064779826,2.0516345895790913,42.76532362799413,350
rolling_r30_m040,rolling,0.3,40,3,1.5079954395299209,0.39408986175115207,1.5118420868034497,12.50175985532841,56.362129118229404,350
rolling_r30_m040,rolling,0.3,40,5,1.5523600067670447,0.3404953917050691,1.5460303979701744,18.913129760915567,63.6159200830293,350
