indicator,target,corridor,h,n_scope,n_signals,hit_rate,base_rate,lift,signals_per_week,weekly_max,calendar_gap_max_days,symmetric_bps,future_only_bps,decision_clock,reference,evaluation_period
AP37 mature-precision router,window_closing,AMD,3,655,142,0.8732394366197183,0.5129770992366413,1.7022971160295102,1.0574468085106383,2,37,60.98285092874659,122.02896784830007,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,window_closing,KZT,3,655,138,0.8188405797101449,0.49923664122137407,1.6401852590524308,1.0276595744680852,2,39,64.67766630031595,122.19164495674654,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),now_favourable,TJS,3,654,92,0.2826086956521739,0.37767584097859325,0.7482837528604119,0.6858359957401491,5,128,56.19349028394456,-16.58655202824921,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),now_favourable,UZS,3,654,97,0.35051546391752575,0.3562691131498471,0.9838502721118534,0.7231096911608094,5,68,73.84699237733467,5.051255206271021,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),now_favourable,KGS,3,654,108,0.3148148148148148,0.3486238532110092,0.9030214424951267,0.805111821086262,5,90,61.197776072467136,-5.3588973069258214,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),now_favourable,AMD,3,654,90,0.35555555555555557,0.35932721712538224,0.9895035460992909,0.670926517571885,4,65,66.45657432172253,-2.828463075559996,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),now_favourable,KZT,3,654,83,0.37349397590361444,0.3302752293577982,1.1308567603748325,0.6187433439829606,5,52,71.57539051623242,9.990248603809679,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,TJS,3,655,92,0.45652173913043476,0.5312977099236641,0.8592578710644677,0.6851063829787234,5,128,56.19349028394456,-16.58655202824921,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,UZS,3,655,97,0.5463917525773195,0.5129770992366413,1.065138684339715,0.7223404255319149,5,68,73.84699237733467,5.051255206271021,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,KGS,3,655,108,0.4722222222222222,0.5145038167938931,0.9178206396307287,0.8042553191489362,5,90,61.197776072467136,-5.3588973069258214,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,AMD,3,655,90,0.5333333333333333,0.5129770992366413,1.0396825396825395,0.6702127659574468,4,65,66.45657432172253,-2.828463075559996,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,KZT,3,655,83,0.5662650602409639,0.49923664122137407,1.1342618179138573,0.6180851063829788,5,52,71.57539051623242,9.990248603809679,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,TJS,3,654,105,0.34285714285714286,0.37767584097859325,0.9078079814921921,0.7827476038338659,5,236,35.85104399890138,-2.83123191902892,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,UZS,3,654,140,0.3142857142857143,0.3562691131498471,0.882158185162477,1.0436634717784878,5,237,30.578602772778822,-6.738043676788203,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,KGS,3,654,165,0.2727272727272727,0.3486238532110092,0.7822966507177033,1.2300319488817892,5,232,20.807128834708205,-12.880695761686244,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,AMD,3,654,154,0.2987012987012987,0.35932721712538224,0.8312793589389335,1.1480298189563365,5,237,22.910588929497905,-5.870997873340484,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,KZT,3,654,161,0.3167701863354037,0.3302752293577982,0.9591097308488612,1.200212992545261,5,204,29.442209413410467,-3.9018285805376545,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,TJS,3,655,105,0.5619047619047619,0.5312977099236641,1.057608100711549,0.7819148936170214,5,236,35.85104399890138,-2.83123191902892,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,UZS,3,655,140,0.5071428571428571,0.5129770992366413,0.988626700680272,1.0425531914893618,5,237,30.578602772778822,-6.738043676788203,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,KGS,3,655,165,0.44242424242424244,0.5145038167938931,0.8599046848305009,1.2287234042553192,5,232,20.807128834708205,-12.880695761686244,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,AMD,3,655,154,0.461038961038961,0.5129770992366413,0.8987515460729746,1.146808510638298,5,237,22.910588929497905,-5.870997873340484,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
